date,quarter,fbcf_constr_share,fbcf_constr_yoy,fbcf_maq_nac_share,fbcf_maq_nac_yoy,fbcf_maq_imp_share,fbcf_maq_imp_yoy,fbcf_transport_share,fbcf_transport_yoy
2016Q1,Q1 2016,38.27046154053714,-5.156899863975594,21.865456123038626,1.6710710415435592,29.47743120521839,-1.6240364236519644,10.386651131205841,4.199839231348679
2016Q2,Q2 2016,32.468551602270644,-17.992467111486143,24.57837832551546,1.5628682382304193,30.466092374164017,5.2642382008157185,12.486977698049868,-0.7214762307814149
2016Q3,Q3 2016,33.85060297690304,-13.55170870319572,23.004362309781275,-4.543867426913872,29.688530272739882,-0.961891988136776,13.456504440575795,6.487918408267168
2016Q4,Q4 2016,33.08146305153172,-11.684482325882339,23.67249262107381,-4.0025784943451885,28.654618544291687,6.378336368763238,14.59142578310278,36.42647538386446
2017Q1,Q1 2017,35.54862987909054,1.6102616614993126,21.229956885497675,6.21087180941855,30.426528350420917,12.912278369328867,12.794884884990873,34.75324772703732
2017Q2,Q2 2017,32.70787121578526,12.890760682168034,24.433453427609493,11.403969450536234,29.891724474821697,9.952029958438535,12.966950881783548,16.37228597754765
2017Q3,Q3 2017,33.28331357798941,14.65582634940732,22.852438961542955,15.839944244745773,31.58371749239991,24.05393054419651,12.280529968067729,6.419406209257916
2017Q4,Q4 2017,33.94343451981297,18.68395077152345,23.6930136457278,15.770320089108015,30.81749769337836,24.400939451917857,11.546054141080877,-8.471408656750178
2018Q1,Q1 2018,34.35246076289937,11.663134690195553,21.17628734750162,15.259183644829921,32.09124974030647,21.873436686395543,12.380002149292551,11.804469994983634
2018Q2,Q2 2018,34.488936294178544,5.658277418600854,22.305235973852476,-8.525936369766873,31.907243132302128,6.95825677516031,11.298584599666858,-12.690363320111109
2018Q3,Q3 2018,38.97246144692849,-1.320246344037701,20.100999797659938,-25.87206896084876,31.8736144425092,-14.951854954697053,9.05292431290237,-37.87469162669844
2018Q4,Q4 2018,41.44199171191333,-13.478498962815234,21.23384740861513,-36.48919799513644,28.968113668847135,-33.386530624780605,8.35604721062441,-48.71309343448169
2019Q1,Q1 2019,44.189820059357416,-9.70192363567277,17.37069661113193,-42.41869127458758,30.425244714831784,-33.44793010640623,8.014238614678868,-54.55818529143861
2019Q2,Q2 2019,41.75822372412997,-7.1968029282709844,20.653371084141405,-29.0283589566516,29.952021081167512,-28.04887772286021,7.636384110561102,-48.195862813803615
2019Q3,Q3 2019,42.44902658725185,-4.57949338810959,20.861644903292767,-9.079313139043165,28.864617964044513,-20.664727599131083,7.824710545410875,-24.279894596077867
2019Q4,Q4 2019,42.7997327928435,-5.6508400772751655,22.376085918193684,-3.729544128355511,26.813209389667,-15.439764612869823,8.010971899295821,-12.416575347440784
2020Q1,Q1 2020,40.93752205034898,-24.065483105346132,19.431439772017438,-8.308798896306824,31.05961584066584,-16.323806418533483,8.571422336967748,-12.33413109612469
2020Q2,Q2 2020,34.42913710263543,-46.875570339855386,25.213843869291996,-21.33921607904732,31.47319649148393,-32.29435503562683,8.883822536588651,-25.041261631065858
2020Q3,Q3 2020,38.73222716500299,-13.218527896146504,24.864845171535308,13.359909071591192,26.272039992211386,-13.43341980374796,10.130887671250312,23.140665810548946
2020Q4,Q4 2020,38.97884146460843,10.340916590353588,25.315265427520607,37.07147382526532,25.754545310096823,16.373422069714305,9.951347797774142,50.50308938014847
2021Q1,Q1 2021,38.62865009109604,36.60043577988639,22.25165117937485,65.77588949504944,28.511017525368942,32.88646285778805,10.608681204160177,79.17301790992485
2021Q2,Q2 2021,35.446583888430546,84.64591376238175,27.033075135093437,92.28607935060987,27.056057609966487,54.1754107159728,10.464283366509529,111.25211673540161
2021Q3,Q3 2021,38.55803131065768,19.19721941766248,25.76712037003877,24.080595778643165,26.165265334329195,19.24909444250289,9.509582984974344,12.392599432068252
2021Q4,Q4 2021,36.09542250139594,4.547010419879682,25.082443340769633,11.860246030974109,28.876288067346884,26.583148686971224,9.945846090487539,12.836146215076116
2022Q1,Q1 2022,35.795528299825975,0.7814583281156029,21.802648871733645,6.563483994115793,33.56084985266165,28.021121179760033,8.840972975778726,-9.36414044755326
2022Q2,Q2 2022,33.20201064538051,10.494132283513435,26.528249072241668,15.761022255211143,30.144185306301814,31.428107457205435,10.125554976076003,14.145438993404724
2022Q3,Q3 2022,35.63046626317842,5.01915080568085,25.690125431335716,13.308420795615472,29.237495397522146,26.99214872622946,9.441912907963712,12.839295451840925
2022Q4,Q4 2022,34.930194715848174,-3.228214863362211,26.09324535137994,4.029888636904677,28.41980630865765,-1.5808468900935901,10.556753624114243,6.142308087374104
2023Q1,Q1 2023,35.70878729332765,-0.7380546903208107,25.184435617921856,14.936884113532711,28.584221448264547,-15.251918569703927,10.52255564048596,18.428880800741098
2023Q2,Q2 2023,32.444841691864326,-2.7284114423673067,28.350048322176534,6.377541851223745,27.22425467148753,-10.100519648784335,11.98085531447161,17.780588779239494
2023Q3,Q3 2023,33.730317943562376,-2.7565917744346358,26.209781318836985,4.799308056207874,28.768896214780547,1.07512230546285,11.291004522820094,22.83831023545515
2023Q4,Q4 2023,36.98419216628298,-2.0477192537433964,26.823364663816584,-4.899110667053474,24.437261385171027,-20.451711032352303,11.755181784729416,3.0145063700608876
2024Q1,Q1 2024,35.24617173750635,-26.64743076141197,22.17762759224657,-34.557279934930875,31.56358589536929,-17.938689643238746,11.012614774877798,-22.22362544429901
2024Q2,Q2 2024,33.17041137389264,-31.07241402364278,28.163884171519964,-33.02285725211382,27.822067431750142,-31.09967497742947,10.843637022837244,-38.97960442767965
2024Q3,Q3 2024,31.646174776057023,-20.877537861611415,28.18695795128307,-9.304901669575838,26.770481016764048,-21.524881340934144,13.396386255895862,0.058522451699993816
2024Q4,Q4 2024,28.470664039294526,-17.428722952789165,27.527337916872863,10.077485933028596,28.518038806845958,25.174153566331547,15.48395923698665,41.286351934747564
2025Q1,Q1 2025,27.289246260244465,8.28334479895152,22.063386041274605,39.13588419994125,37.02961659196706,64.07595975698874,13.617751106513856,72.94062312495333
2025Q2,Q2 2025,26.48428464353198,15.090355520292187,25.64900968064639,31.274264671523454,32.467232592466694,68.2121709042379,15.399473083354934,104.70687650001796
2025Q3,Q3 2025,28.34516906377269,2.174634947618026,23.049483853591113,-6.717911190031689,33.584743839401156,43.11037863558096,15.020603243235048,27.90425107264376
2025Q4,Q4 2025,30.264369500165618,1.5038556023028615,23.420583639417686,-18.75773845366332,32.94503179125016,10.310989531155101,13.370015069166536,-17.548533880036366
